Substrate_ID,SMILES,PC_0,PC_1,PC_2,PC_3,PC_4
1,C[C@]12[C@@](CCC([C@@]2([H])CC/3)=CC3=C(C)/C)([H])C(C)(C)CCC1,-3.65177068,-2.398349944,-0.080778344,0.087147917,-1.121988059
2,CC1(C)CCC[C@]2(C)[C@]1([H])CC[C@]3(C4)C2([H])C[C@H](CC3)C4=C,5.745786672,-1.308170167,0.234527597,-1.30948047,-1.797385154
3,CC1(C)CCC[C@]2(C)[C@]1([H])CC[C@]3(C4)[C@@]2([H])CC[C@@H](C4=C)C3,6.052473375,-1.6620759,0.696440516,2.201553235,2.105489879
4,C[C@]12[C@@](CC=C3[C@@]2([H])CC[C@](C=C)(C)C3)([H])C(C)(C)CCC1,0.575628133,0.351805561,0.692529789,-0.905765038,1.005378598
5,CC1(C)CCC[C@]2(C)[C@]1([H])CC[C@]34[C@@]2([H])CC[C@@H](C(C)=C4)C3,4.322350819,-3.311829912,0.452063165,-0.526702846,-0.610515596
6,C[C@@]12[C@](CC=C3[C@@]2([H])CC[C@](C=C)(C)C3)([H])C(C)(C)CCC1,1.504325078,0.636956259,-1.124989506,0.717613592,0.515949956
7,C[C@]12[C@@](CC[C@@]3([H])[C@@]2([H])CC=C(C=C)[C@H]3C)([H])C(C)(C)CCC1,-1.664917585,1.776789038,2.348405788,-1.741116671,1.186938268
8,C[C@]12[C@](CCC3=C[C@@](C=C)(C)CC[C@]32[H])([H])C(C)(C)CCC1,0.520648693,2.285170106,-3.686750821,0.05459324,0.354206299
9,C[C@@]12[C@](CCC3=CC(C(C)C)=CC=C23)([H])C(C)(C)CCC1,-0.269133127,3.588270675,2.282411652,2.90909513,-1.880714816
10,CC1(C)CCC[C@@]2(C)[C@@]1([H])CCC3=CC(C(C)C)=CC[C@@]32[H],-4.254187077,-1.067263391,0.917730923,-0.417053257,0.497235134
11,C[C@@]12[C@@](CCC([C@]2([H])CC/3)=CC3=C(C)/C)([H])C(C)(C)CCC1,-3.652297549,-2.056348048,-0.819327412,0.264378724,-1.114131602
12,C[C@@]12[C@@](CC=C3[C@]2([H])CCC(C(C)C)=C3)([H])C(C)(C)CCC1,-3.376310831,-0.273006553,0.598826845,0.586171933,0.906179057
13,C[C@@]12[C@@](CCC3=C2CCC(C(C)C)=C3)([H])C(C)(C)CCC1,-4.467242147,-1.92664204,-1.059465993,0.853773752,0.563408074
14,C[C@]12[C@@](CCC3=C[C@](C=C)(C)CC[C@]32[H])([H])C(C)(C)CCC1,0.041554531,1.723863576,0.486806312,-1.58619828,-0.308694822
15,C[C@@]12[C@](CCC3=C[C@@](C=C)(C)CC[C@@]32[H])([H])C(C)(C)CCC1,0.923912126,2.233409537,-2.203949999,-0.319618547,-0.249626722
16,C[C@@]12[C@](CCC3=C[C@](C=C)(C)CC[C@@]32[H])([H])C(C)(C)CCC1,0.722260734,1.527787932,0.506638964,-1.183281203,0.145089272
17,C[C@@]12[C@](CC=C3[C@]2([H])CC[C@@](C=C)(C)C3)([H])C(C)(C)CCC1,0.926918834,-0.12036673,-0.241119475,0.31488879,-0.196817763